ipa,word,type,vowel,vowelqual,register,aspiration,syllabic_nasal,onset,coda
lu:,howl,target,u:,u:,modal,,no,l,none
lù:,thigh,target,ù:,u:,breathy,,no,l,none
ku:,athome,target,u:,u:,modal,unaspirated,no,k,ŋ
kù:,every,target,ù:,u:,breathy,,no,k,ŋ
tpat,west,target,a,a,modal,unaspirated,no,p,t
tpàt,six,target,à,a,breathy,,no,p,t
lɑp,return,target,ɑ,ɑ,modal,,no,l,p
lɑ̀p lɑ̀p,dusk,target,ɑ̀,ɑ,breathy,,no,l,p
kò:,cow,distractor,ò:,o:,breathy,,no,k,none
kho:kho:,toastedrice,distractor,o:,o:,modal,aspirated,no,kh,none
pho:m,fragrant,target,o:,o:,modal,aspirated,no,ph,m
mpò:m,just,target,ò:,o:,breathy,,yes,p,m
tmpo:m,wrapped,distractor,o:,o:,modal,unaspirated,no,p,m
nte:,tell,target,e:,e:,modal,unaspirated,yes,t,none
tè:,no,target,è:,e:,breathy,,no,t,none
the:,jar,target,e:,e:,modal,aspirated,no,th,none
po:t,swelling,target,o:,o:,modal,unaspirated,no,p,t
pò:t,toomuch,target,ò:,o:,breathy,,no,p,t
ti:,old,target,i:,i:,modal,unaspirated,no,t,none
tì:,tall,target,ì:,i:,breathy,,no,t,none
daʔ,place,distractor,a,a,modal,unaspirated,no,d,ʔ
taʔ,grab,target,a,a,modal,unaspirated,no,t,ʔ
tàʔ,placeunder,target,à,a,breathy,,no,t,ʔ
dàh,bite,distractor,à,a,breathy,,no,d,h
tah,divorce,target,a,a,modal,unaspirated,no,t,h
tàh,slap,target,à,a,breathy,,no,t,h
kʌ̀l,tree,distractor,ʌ̀,ʌ,breathy,,no,k,l
khal,stainlessscooper,distractor,a,a,modal,aspirated,no,kh,l
to:ŋ,coconut,target,o:,o:,modal,unaspirated,no,t,ŋ
tò:ŋ,male,target,ò:,o:,breathy,,no,t,ŋ
pu:ʔ,sun,target,u:,u:,modal,unaspirated,no,p,ʔ
pù:ʔ,beard,target,ù:,u:,breathy,,no,p,ʔ
buʔ,sow,distractor,u,u,modal,unaspirated,no,b,ʔ
pi:l,flower,target,i:,i:,modal,unaspirated,no,p,l
pì:l,spin,target,ì:,i:,breathy,,no,p,l
nchu:n,hide,target,u:,u:,modal,aspirated,yes,ch,n
cù:n,send,target,ù:,u:,breathy,,no,c,n
ntrɛ̀:l,egg,distractor,ɛ̀:,ɛ:,breathy,,yes,tr,l
mpèʔ,mom,distractor,è,e,breathy,,yes,p,ʔ
ncɛ:,lice,distractor,ɛ:,ɛ:,modal,unaspirated,yes,c,none
ŋkɛ:ŋ,waist,target,ɛ:,ɛ:,modal,unaspirated,yes,k,ŋ
ŋkʌŋ,eggplant,distractor,ʌ,ʌ,modal,unaspirated,yes,k,ŋ
ntrì:m,shovel,distractor,ì:,i:,breathy,,yes,tr,m
ntrɑ:ŋ,redant,distractor,ɑ:,ɑ:,modal,unaspirated,yes,tr,ŋ
rmpàt,stick,distractor,à,a,breathy,,no,p,t
lmpa:ʔ,shoulder,distractor,a:,a:,modal,unaspirated,no,p,ʔ
ntɔ:l,star,distractor,ɔ:,ɔ:,modal,unaspirated,yes,t,l
ktɤ:,season,distractor,ɤ:,ɤ:,modal,unaspirated,no,t,none
sʌ:ŋ,five,distractor,ʌ:,ʌ:,modal,,no,s,ŋ
nchɔʔ,smelly,distractor,ɔ,ɔ,modal,unaspirated,yes,ch,ʔ
nchɑ:ʔ,hay,distractor,ɑ:,ɑ:,modal,unaspirated,yes,ch,ʔ
cntrʌ̀ŋ,diligent,distractor,ʌ̀,ʌ,breathy,,no,tr,ŋ
phlɯ:m,lightning,distractor,ɯ:,ɯ:,modal,aspirated,no,l,m
sŋki:l,sensitive,distractor,i:,i:,modal,unaspirated,no,k,l
thrɛ:,paddy,distractor,ɛ:,ɛ:,modal,unaspirated,no,thr,none
cɤ̀:l,tiger,distractor,ɤ̀:,ɤ:,breathy,,no,c,l
sɛh,horse,distractor,ɛ,ɛ,modal,,no,s,h
kɛ̀:ŋ,side,target,ɛ̀:,ɛ:,breathy,,no,k,ŋ